timestamp,health,osds,active,disk_usage(TiB),scrubbing,mons,runningtime,active_clean,date,time,date_time,rd_bw(KiB/s),wr_bw(KiB/s),rd_ops(op/s),wr_ops(op/s)
20240305-1057,HEALTH_WARN,"112 osds: 112 up (since 4d), 112 in (since 10w)",2 portals active (2 hosts),125,2,3,10,671,05-03-2024,10:57:00,05-03-2024 10:57,12,83,17,6
20240305-1200,HEALTH_WARN,"112 osds: 112 up (since 4d), 112 in (since 10w)",2 portals active (2 hosts),125,2,3,11,671,05-03-2024,12:00:00,05-03-2024 12:00,411,127,502,51
20240305-1800,HEALTH_WARN,"112 osds: 112 up (since 5d), 112 in (since 10w)",2 portals active (2 hosts),125,2,3,11,671,05-03-2024,18:00:00,05-03-2024 18:00,412,129,502,52
20240306-0000,HEALTH_WARN,"112 osds: 112 up (since 5d), 112 in (since 10w)",2 portals active (2 hosts),125,3,3,11,670,06-03-2024,00:00:00,06-03-2024 00:00,418,142,515,62
20240306-0600,HEALTH_WARN,"112 osds: 112 up (since 5d), 112 in (since 10w)",2 portals active (2 hosts),125,1,3,11,672,06-03-2024,06:00:00,06-03-2024 06:00,1.7,101,22,41
20240306-1200,HEALTH_WARN,"112 osds: 112 up (since 5d), 112 in (since 10w)",2 portals active (2 hosts),125,6,3,12,667,06-03-2024,12:00:00,06-03-2024 12:00,402,119,474,63
20240306-1800,HEALTH_WARN,"112 osds: 112 up (since 6d), 112 in (since 11w)",2 portals active (2 hosts),125,1,3,12,672,06-03-2024,18:00:00,06-03-2024 18:00,411,116,508,61
20240307-0000,HEALTH_WARN,"112 osds: 112 up (since 6d), 112 in (since 11w)",2 portals active (2 hosts),125,3,3,12,670,07-03-2024,00:00:00,07-03-2024 00:00,396,116,478,55
20240307-0600,HEALTH_WARN,"112 osds: 112 up (since 6d), 112 in (since 11w)",2 portals active (2 hosts),125,3,3,12,670,07-03-2024,06:00:00,07-03-2024 06:00,409,116,499,69
20240307-1200,HEALTH_WARN,"112 osds: 112 up (since 6d), 112 in (since 11w)",2 portals active (2 hosts),125,4,3,13,669,07-03-2024,12:00:00,07-03-2024 12:00,243,90,295,42
20240307-1800,HEALTH_WARN,"112 osds: 112 up (since 7d), 112 in (since 11w)",2 portals active (2 hosts),125,3,3,13,670,07-03-2024,18:00:00,07-03-2024 18:00,193,402,201,25
